Human|[Human]
Acute Disease|[Acute Disease$Acute Diseases$Disease, Acute$Diseases, Acute]
Neoplasms|[Neoplasm$Neoplasms$Tumor$Tumors]
Malignant neoplasm musculoskeletal|[Sarcoma$Sarcomas$Sarcoma, Soft Tissue$Sarcomas, Soft Tissue$Soft Tissue Sarcoma$Soft Tissue Sarcomas]
Lung|[Lungs$Lung]
Lung diseases|[Diseases, Lung$Lung Disease$Lung Diseases$Disease, Lung$Disease, Pulmonary$Diseases, Pulmonary$Pulmonary Disease$Pulmonary Diseases]
Hypertension|[Hypertension]
Caviidae|[Guinea Pigs$Pig, Guinea$Pigs, Guinea$Guinea Pig$Caviidae]
Cavia|[Cavias$Cavia]
Models, Biological|[Biologic Model$Biologic Models$Biological Model$Biological Models$Model, Biologic$Model, Biological$Models, Biologic$Models, Biological]
Proteins|[Proteins]
takeout protein|[TO protein$takeout gene product$takeout protein]
nos protein|[nos gene product$nos protein$nanos]
Neurons|[Cell, Nerve$Cells, Nerve$Nerve Cell$Nerve Cells$Neuron$Neurons]
Tumor Cells, Cultured|[Cell, Cultured Neoplastic$Cells, Cultured Neoplastic$Cultured Neoplastic Cell$Cultured Neoplastic Cells$Neoplastic Cell, Cultured$Neoplastic Cells, Cultured$Cell, Cultured Tumor$Cells, Cultured Tumor$Cultured Tumor Cell$Cultured Tumor Cells$Tumor Cell, Cultured$Tumor Cells, Cultured]
Evaluation Studies|[Evaluation Studies$Evaluation Study$Studies, Evaluation$Study, Evaluation]
Swine|[Pigs$Swine]
Sus scrofa|[Boar, Wild$Boars, Wild$Wild Boar$Wild Boars$Sus scrofa]
Species Specificity|[Species Specificities$Species Specificity$Specificities, Species$Specificity, Species]
Cloning, Molecular|[Cloning, Molecular$Molecular Cloning]
Body Weight|[Body Weight$Body Weights$Weight, Body$Weights, Body]
Electrocardiogram|[Electrocardiogram$Electrocardiograms$Electrocardiography$ECG$EKG]
Elderly|[Aged$Elderly]
Aging|[Aging]
Rats, Sprague-Dawley|[Rats, Sprague Dawley$Rats, Sprague-Dawley$Sprague-Dawley Rats$Sprague Dawley Rats]
Cell Membrane|[Cell Membrane$Membrane, Cell$Membranes, Cell$Cell Membranes$Membrane, Plasma$Membranes, Plasma$Plasma Membrane$Plasma Membranes$Cytoplasmic Membrane$Cytoplasmic Membranes$Membrane, Cytoplasmic$Membranes, Cytoplasmic]
Antibodies, Monoclonal|[Antibodies, Monoclonal$Monoclonal Antibodies]
Skin <1>|[Skin]
Clinical Trials|[Clinical Trials$Trials, Clinical]
Clinical Trial [Publication Type]|[Clinical Trial$Clinical Trial (PT)$Clinical Trial [Publication Type]]
Felis catus|[Cat$Cats$Felis catus$Felis domestica]
X-Ray Computed Tomography|[Computerized Tomographies, X-Ray$Computerized Tomography, X Ray$Computerized Tomography, X-Ray$Tomographies, X-Ray Computerized$Tomography, X-Ray Computerized$X-Ray Computerized Tomographies$X-Ray Computerized Tomography$CT X Ray$CT X Rays$X Ray, CT$X Rays, CT$Tomodensitometries$Tomodensitometry$Computed Tomographies, X-Ray$Computed Tomography, X-Ray$Computed X-Ray Tomographies$Computed X-Ray Tomography$Tomographies, Computed X-Ray$Tomographies, X-Ray Computed$Tomography, Computed X-Ray$Tomography, X Ray Computed$Tomography, X-Ray Computed$X Ray Tomography, Computed$X-Ray Computed Tomographies$X-Ray Computed Tomography$X-Ray Tomographies, Computed$X-Ray Tomography, Computed$Computed Tomographies, Xray$Computed Tomography, Xray$Tomographies, Xray Computed$Tomography, Xray Computed$Xray Computed Tomographies$Xray Computed Tomography$CAT Scan, X Ray$CAT Scan, X-Ray$CAT Scans, X-Ray$Scan, X-Ray CAT$Scans, X-Ray CAT$X-Ray CAT Scan$X-Ray CAT Scans]
Family Felidae|[Felidae]
Polymerase Chain Reaction|[PCR$Polymerase Chain Reaction$Polymerase Chain Reactions$Reaction, Polymerase Chain$Reactions, Polymerase Chain]
Body Temperature|[Body Temperature$Body Temperatures$Temperature, Body$Temperatures, Body]
Temperature|[Temperature$Temperatures]
T-Lymphocytes|[T Cells$T-Cell$T-Cells$T Lymphocytes$T-Lymphocyte$T-Lymphocytes$Lymphocyte, Thymus-Dependent$Lymphocytes, Thymus-Dependent$Thymus Dependent Lymphocytes$Thymus-Dependent Lymphocyte$Thymus-Dependent Lymphocytes]
Breast Neoplasms|[Breast Neoplasms$Neoplasm, Breast$Neoplasms, Breast$Breast Neoplasm]
Insulin|[Insulin$Insulin (ox), 8A-L-threonine-10A-L-isoleucine-30B-L-threonine-$Regular Insulin$Insulin, Regular]
Myocardium|[Cardiac Muscle$Cardiac Muscles$Muscle, Cardiac$Muscles, Cardiac$Myocardia$Myocardium$Heart Muscle$Heart Muscles$Muscle, Heart$Muscles, Heart]
Coronary Disease|[Coronary Disease$Coronary Diseases$Diseases, Coronary$Disease, Coronary$Coronary Heart Disease$Coronary Heart Diseases$Disease, Coronary Heart$Diseases, Coronary Heart$Heart Disease, Coronary$Heart Diseases, Coronary]
Great Britain|[Great Britain]
Immunohistochemistry|[Immunohistochemistry]
Heart Rate|[Heart Rate$Heart Rates$Rate, Heart$Rates, Heart$Cardiac Chronotropisms$Chronotropisms, Cardiac$Cardiac Chronotropism$Chronotropism, Cardiac]
Protein Binding|[Binding, Protein$Protein Binding]
Binding Proteins|[Binding Protein$Binding Proteins$Protein, Binding$Proteins, Binding]
Electrophoresis, Polyacrylamide Gel|[Electrophoresis, Polyacrylamide Gel$Gel Electrophoresis, Polyacrylamide$Polyacrylamide Gel Electrophoresis]
Erythrocytes|[Erythrocyte$Erythrocytes$Blood Cells, Red$Red Blood Cells$Blood Cell, Red$Red Blood Cell]
Hemodynamics|[Hemodynamics$Hemodynamic]
Magnetic Resonance Imaging|[Magnetic Resonance Imaging$Imaging, Magnetic Resonance$MR Tomography$Tomography, MR]
Amino Acids|[Acids, Amino$Amino Acids]
Recurrence|[Recurrence$Recurrences]
Recombinant Proteins|[Biosynthetic Proteins$Proteins, Biosynthetic$Proteins, Recombinant$Recombinant Proteins]
Rats, Wistar|[Rats, Wistar$Wistar Rats]
Reference Values|[Range, Reference$Ranges, Reference$Reference Range$Reference Ranges$Reference Value$Reference Values$Value, Reference$Values, Reference]
Transcription, Genetic|[Transcription$Transcriptions$Genetic Transcription$Genetic Transcriptions$Transcription, Genetic$Transcriptions, Genetic]
Structure-Activity Relationship|[Relationship, Structure-Activity$Relationships, Structure-Activity$Structure Activity Relationship$Structure-Activity Relationship$Structure-Activity Relationships]
Lymphocytes|[Lymphocyte$Lymphocytes]
Questionnaires|[Questionnaire$Questionnaires]
Chromatography, High Pressure Liquid|[Chromatography, High Performance Liquid$Chromatography, High Pressure Liquid$Chromatography, Liquid, High Pressure$Chromatography, High Speed Liquid$HPLC]
Myocardial Infarction|[Infarctions, Myocardial$Myocardial Infarction$Myocardial Infarctions$Infarction, Myocardial$Myocardial Infarct$Infarcts, Myocardial$Myocardial Infarcts$Infarct, Myocardial]
Biopsy|[Biopsies$Biopsy]
biopsy characteristics|[biopsy]
Heart|[Heart$Hearts]
Glucose|[D Glucose$D-Glucose$Dextrose$Glucose]
Antibiotics|[Antibiotics]
Lung Neoplasms|[Lung Neoplasm$Lung Neoplasms$Neoplasm, Lung$Neoplasms, Lung$Neoplasm, Pulmonary$Neoplasms, Pulmonary$Pulmonary Neoplasm$Pulmonary Neoplasms]
Sensitivity and Specificity|[Sensitivity and Specificity$Specificity and Sensitivity]
Oxygen|[Oxygen]
Oxygen Therapy Care|[Inhalation Therapies, Oxygen$Inhalation Therapy, Oxygen$Oxygen Inhalation Therapies$Oxygen Inhalation Therapy$Therapies, Oxygen Inhalation$Therapy, Oxygen Inhalation]
Sodium|[Sodium]
Protein Conformation|[Conformation, Protein$Conformations, Protein$Protein Conformation$Protein Conformations]
Electric Stimulation|[Electric Stimulation$Electric Stimulations$Stimulation, Electric$Stimulations, Electric$Electrical Stimulation$Electrical Stimulations$Stimulation, Electrical$Stimulations, Electrical]
Sheep <1>|[Sheep$Ovis]
Sheep, Domestic|[Sheep, Domestic$Domestic Sheep$Ovis ammon aries$Ovis aries]
Phenotype|[Phenotype$Phenotypes]
Combined Modality Therapy|[Combined Modality Therapies$Combined Modality Therapy$Modality Therapies, Combined$Modality Therapy, Combined$Therapies, Combined Modality$Therapy, Combined Modality$Multimodal Treatment$Multimodal Treatments$Treatment, Multimodal$Treatments, Multimodal]
Science of Chemistry|[Chemistry]
chemical aspects|[chemistry]
Spleen|[Spleen$Spleens]
Malignant neoplasm of spleen|[Cancer of Spleen$Cancer of the Spleen$Cancers, Spleen$Spleen Cancer$Spleen Cancers$Cancer, Spleen$Cancer, Splenic$Cancers, Splenic$Splenic Cancer$Splenic Cancers]
Hamsters|[Cricetinae$Hamster$Hamsters]
Analysis of Variance|[Analysis of Variance$Analysis, Variance$Variance Analysis$ANOVA$Analyses, Variance$Variance Analyses]
Immunoglobulin G|[7S Gamma Globulin$Gamma Globulin, 7S$IgG$Immunoglobulin G]
Potassium|[Potassium]
Lipids|[Lipids]
Cell Differentiation|[Cell Differentiation$Cell Differentiations$Differentiation, Cell$Differentiations, Cell]
Adenocarcinoma|[Adenocarcinoma$Adenocarcinomas$Adenoma, Malignant$Adenomas, Malignant$Malignant Adenoma$Malignant Adenomas]
Blood Glucose|[Blood Glucose$Glucose, Blood$Blood Sugar$Sugar, Blood]
Oxidation-Reduction|[Oxidation Reduction$Oxidation-Reduction$Redox]
Disease Models, Animal|[Animal Disease Model$Animal Disease Models$Disease Model, Animal$Disease Models, Animal$Model, Animal Disease$Models, Animal Disease]
Culture Media|[Culture Media$Media, Culture]
Mice, Inbred BALB C|[BALB C Mice, Inbred$BALB C Mouse, Inbred$Inbred BALB C Mice$Inbred BALB C Mouse$Mice, Inbred BALB C$Mouse, Inbred BALB C$Mice, BALB C$Mouse, BALB C$BALB C Mice$BALB C Mouse]
Lymphocyte Activation|[Blast Transformation$Transformation, Blast$Blastogenesis$Activation, Lymphocyte$Lymphocyte Activation$Lymphocyte Transformation$Transformation, Lymphocyte$Lymphoblast Transformation$Transformation, Lymphoblast$Lymphocyte Stimulation$Stimulation, Lymphocyte]
Antineoplastic Agents|[Agents, Antineoplastic$Antineoplastic Agents$Antineoplastic Drugs$Drugs, Antineoplastic$Antineoplastics]
Fluorescent Antibody Technique|[Antinuclear Antibody Test, Fluorescent$Fluorescent Antinuclear Antibody Test$Antibody Technique, Fluorescent$Antibody Techniques, Fluorescent$Fluorescent Antibody Technique$Fluorescent Antibody Techniques$Technique, Fluorescent Antibody$Techniques, Fluorescent Antibody$Coon Technique$Coon's Technique$Coons Technique$Technique, Coon's$Immunofluorescence Technique$Immunofluorescence Techniques$Technique, Immunofluorescence$Techniques, Immunofluorescence$Antibody Technic, Fluorescent$Antibody Technics, Fluorescent$Fluorescent Antibody Technic$Fluorescent Antibody Technics$Technic, Fluorescent Antibody$Technics, Fluorescent Antibody$Coon Technic$Coon's Technic$Coons Technic$Technic, Coon's$Immunofluorescence Technic$Immunofluorescence Technics$Technic, Immunofluorescence$Technics, Immunofluorescence]
Chickens|[Chicken$Chickens]
Magnetic Resonance Spectroscopy|[Magnetic Resonance Spectroscopies$Magnetic Resonance Spectroscopy$Resonance Spectroscopy, Magnetic$Spectroscopy, Magnetic Resonance$MR Spectroscopy$Spectroscopy, MR]
Electroencephalography|[EEG$Electroencephalography]
Cell Nucleus|[Cell Nucleus$Nucleus, Cell$Cell Nuclei$Nuclei, Cell]
Oxygen Consumption|[Consumption, Oxygen$Oxygen Consumption$Consumptions, Oxygen$Oxygen Consumptions]
Cholesterol|[Cholesterol$Cholest-5-en-3-ol (3beta)-]
Peptides|[Peptides$Polypeptides]
Norepinephrine|[Levarterenol$Levonorepinephrine$Noradrenaline$Norepinephrine$1,2-Benzenediol, 4-(2-amino-1-hydroxyethyl)-, (R)-]
Double-Blind Method|[Double Blind Method$Double-Blind Method$Double-Blind Methods$Method, Double-Blind$Methods, Double-Blind$Double Blind Study$Double-Blind Studies$Double-Blind Study$Studies, Double-Blind$Study, Double-Blind$Double Masked Method$Double-Masked Method$Double-Masked Methods$Method, Double-Masked$Methods, Double-Masked$Double Masked Study$Double-Masked Studies$Double-Masked Study$Studies, Double-Masked$Study, Double-Masked]
Tritium|[Tritium]
Mental disorders|[Disorders, Mental$Mental Disorder$Mental Disorders$Disorder, Mental]
Mathematics|[Mathematics$Mathematic]
Syndrome|[Syndromes$Syndrome]
Drug Therapy, Combination|[Chemotherapies, Combination$Chemotherapy, Combination$Combination Chemotherapies$Combination Chemotherapy$Combination Drug Therapies$Combination Drug Therapy$Drug Therapies, Combination$Drug Therapy, Combination$Therapies, Combination Drug$Therapy, Combination Drug$Polychemotherapies$Polychemotherapy]
Reproducibility of Results|[Reproducibility of Findings$Reproducibility of Results]
Mice, Inbred C57BL|[Mice, C57BL$Mouse, C57BL$C57BL Mice$C57BL Mouse$C57BL Mice, Inbred$C57BL Mouse, Inbred$Inbred C57BL Mice$Inbred C57BL Mouse$Mice, Inbred C57BL$Mouse, Inbred C57BL]
Incidence|[Incidence$Incidences]
incidence of cases|[incidence]
Administration, Oral|[Administration, Oral$Administrations, Oral$Oral Administration$Oral Administrations$Administration, Oral Drug$Administrations, Oral Drug$Drug Administration, Oral$Drug Administrations, Oral$Oral Drug Administration$Oral Drug Administrations]
Muscle Contraction|[Inotropism$Contraction, Muscle$Contractions, Muscle$Muscle Contraction$Muscle Contractions$Contraction, Muscular$Contractions, Muscular$Muscular Contraction$Muscular Contractions]
Adenosine Triphosphate|[Adenosine Triphosphate$Adenylpyrophosphate$ATP$Adenosine 5'-(tetrahydrogen triphosphate)]
Cerebral Cortex|[Cerebral Cortex$Cerebral Cortices$Cortex, Cerebral$Cortices, Cerebral]
Risk|[Risk$Risks]
Gene Expression|[Expression, Gene$Expressions, Gene$Gene Expression$Gene Expressions]
Gene Expression Regulation|[Gene Action Regulation$Regulation, Gene Action$Expression Regulation, Gene$Gene Expression Regulation$Regulation of Gene Expression$Regulation, Gene Expression]
Biological Transport|[Biologic Transport$Biological Transport$Transport, Biologic$Transport, Biological]
Histocytochemistry|[Histocytochemistry]
Heat|[Heat]
Heating|[Heating]
Smoke|[Smoke$Smokes]
Smoking|[Smoking$Smokings]
Animals, Newborn|[Animal, Newborn$Animals, Newborn$Newborn Animal$Newborn Animals]
Radioimmunoassay|[Radioimmunoassay$Radioimmunoassays]
Injections, Intravenous|[Injection, Intravenous$Injections, Intravenous$Intravenous Injections$Intravenous Injection]
Signal Transduction|[Signal Transduction$Signal Transductions$Transduction, Signal$Transductions, Signal$Signal Transduction System$Signal Transduction Systems$System, Signal Transduction$Systems, Signal Transduction]
History of Medicine, 19th Cent.|[History of Medicine, 19th Cent.$19th Cent. History (Medicine)$19th Cent. History of Medicine$19th Cent. Histories (Medicine)$Cent. Histories, 19th (Medicine)$Cent. History, 19th (Medicine)$Histories, 19th Cent. (Medicine)$History, 19th Cent. (Medicine)$Medical History, 19th Cent.]
Antibodies|[Antibodies]
Macrophages|[Macrophage$Macrophages]
Transfection|[Transfection$Transfections]
Pain|[Pain]
Acquired Immunodeficiency Syndrome|[Acquired Immunodeficiency Syndrome$Acquired Immunodeficiency Syndromes$Immunodeficiency Syndrome, Acquired$Immunodeficiency Syndromes, Acquired$Syndrome, Acquired Immunodeficiency$Syndromes, Acquired Immunodeficiency$AIDS$Acquired Immune Deficiency Syndrome$Acquired Immuno Deficiency Syndrome$Acquired Immuno-Deficiency Syndrome$Acquired Immuno-Deficiency Syndromes$Immuno-Deficiency Syndrome, Acquired$Immuno-Deficiency Syndromes, Acquired$Syndrome, Acquired Immuno-Deficiency$Syndromes, Acquired Immuno-Deficiency$Immunologic Deficiency Syndrome, Acquired]
Enzyme-Linked Immunosorbent Assay|[Assay, Enzyme-Linked Immunosorbent$Assays, Enzyme-Linked Immunosorbent$Enzyme Linked Immunosorbent Assay$Enzyme-Linked Immunosorbent Assay$Enzyme-Linked Immunosorbent Assays$Immunosorbent Assay, Enzyme-Linked$Immunosorbent Assays, Enzyme-Linked$ELISA]
Carcinoma, Squamous Cell|[Carcinoma, Epidermoid$Carcinomas, Epidermoid$Epidermoid Carcinomas$Epidermoid Carcinoma$Carcinoma, Squamous Cell$Carcinomas, Squamous Cell$Squamous Cell Carcinomas$Squamous Cell Carcinoma$Carcinoma, Squamous$Carcinomas, Squamous$Squamous Carcinomas$Squamous Carcinoma$Carcinoma, Planocellular$Carcinomas, Planocellular$Planocellular Carcinoma$Planocellular Carcinomas]
Plasmids|[Plasmids]
Fibroblasts|[Fibroblast$Fibroblasts]
Enzyme Activation|[Activation, Enzyme$Activations, Enzyme$Enzyme Activation$Enzyme Activations]
Chromosome Mapping|[Chromosome Mapping$Chromosome Mappings$Mapping, Chromosome$Mappings, Chromosome$Gene Mapping$Gene Mappings$Mapping, Gene$Mappings, Gene$Linkage Mapping$Linkage Mappings$Mapping, Linkage$Mappings, Linkage]
Asthma|[Asthma$Asthmas$Asthma, Bronchial$Asthmas, Bronchial$Bronchial Asthma$Bronchial Asthmas]
Diet|[Diets$Diet]
Liver neoplasms|[Liver Neoplasm$Liver Neoplasms$Neoplasm, Liver$Neoplasms, Liver$Hepatic Neoplasm$Hepatic Neoplasms$Neoplasm, Hepatic$Neoplasms, Hepatic]
Peptide Fragments|[Fragments, Peptide$Peptide Fragments]
Epithelium|[Epithelium]
Research|[Research]
Diabetes Mellitus|[Diabetes Mellitus]
Electrophysiology|[Electrophysiology]
Statistical Prevalence|[Prevalence$Prevalences]
Prevalence aspects|[prevalence]
Sequence Homology, Amino Acid|[Amino Acid Sequence Homology$Sequence Homology, Amino Acid]
Chromatography, Gel|[Chromatography, Exclusion$Exclusion Chromatography$Chromatography, Gel$Gel Chromatography$Chromatography, Gel Permeation$Gel Permeation Chromatography$Chromatography, Molecular Sieve$Molecular Sieve Chromatography$Sieve Chromatography, Molecular$Filtration, Gel$Gel Filtration$Chromatography, Gel Filtration$Filtration Chromatography, Gel$Gel Filtration Chromatography$Chromatography, Size Exclusion$Exclusion Chromatography, Size$Size Exclusion Chromatography]
Cyclic AMP|[3',5'-Monophosphate, Adenosine Cyclic$Adenosine Cyclic 3',5' Monophosphate$Adenosine Cyclic 3',5'-Monophosphate$Adenosine Cyclic 3,5 Monophosphate$Adenosine Cyclic-3',5'-Monophosphate$Cyclic 3',5'-Monophosphate, Adenosine$Cyclic-3',5'-Monophosphate, Adenosine$Adenosine Cyclic Monophosphate$Cyclic Monophosphate, Adenosine$Monophosphate, Adenosine Cyclic$AMP, Cyclic$Cyclic AMP$Adenosine, cyclic 3',5'-(hydrogen phosphate)]
Cell Survival|[Cell Survival$Survival, Cell$Cell Viabilities$Cell Viability$Viabilities, Cell$Viability, Cell]
Carrier Proteins|[Carrier Proteins$Proteins, Carrier$Proteins, Transport$Transport Proteins]
Bacteria|[Bacteria]
Bacterial|[bacteria]
Bacterial Proteins|[Bacterial Gene Product$Bacterial Gene Products$Gene Product, Bacterial$Gene Products, Bacterial$Bacterial Gene Protein$Bacterial Gene Proteins$Gene Protein, Bacterial$Gene Proteins, Bacterial$Bacterial Protein$Bacterial Proteins$Protein, Bacterial$Proteins, Bacterial]
